Initialized
Press Enter to quit...
Connected
Frame id: 232906, timestamp: 1554657658847315, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232907, timestamp: 1554657658864687, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232908, timestamp: 1554657658881992, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232909, timestamp: 1554657658899339, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232910, timestamp: 1554657658916746, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232911, timestamp: 1554657658934050, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232912, timestamp: 1554657658951376, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232913, timestamp: 1554657658968760, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232914, timestamp: 1554657658986087, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232915, timestamp: 1554657659003484, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232916, timestamp: 1554657659020781, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232917, timestamp: 1554657659038127, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232918, timestamp: 1554657659055509, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232919, timestamp: 1554657659072807, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232920, timestamp: 1554657659090136, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232921, timestamp: 1554657659107484, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232922, timestamp: 1554657659124854, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232923, timestamp: 1554657659142198, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232924, timestamp: 1554657659159498, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232925, timestamp: 1554657659176840, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232926, timestamp: 1554657659194198, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232927, timestamp: 1554657659211501, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232928, timestamp: 1554657659228915, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232929, timestamp: 1554657659246236, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232930, timestamp: 1554657659263621, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232931, timestamp: 1554657659280932, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232932, timestamp: 1554657659298259, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232933, timestamp: 1554657659315604, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232934, timestamp: 1554657659332968, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232935, timestamp: 1554657659350343, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232936, timestamp: 1554657659367688, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232937, timestamp: 1554657659384989, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232938, timestamp: 1554657659402337, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232939, timestamp: 1554657659419683, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232940, timestamp: 1554657659437021, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232941, timestamp: 1554657659454359, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232942, timestamp: 1554657659471739, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232943, timestamp: 1554657659489052, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232944, timestamp: 1554657659506399, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232945, timestamp: 1554657659523759, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232946, timestamp: 1554657659541070, hands: 0, fingers: 0, tools: 0, gestures: 0
